subject,num_conf,seq_len,embed_dim,num_params,lr,batch_size,img_size,patch_size,depth,num_heads,embed_dim_scale,ff_mult,num_landmarks,val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
chb01,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.56,98.85,99.05,98.64,97.33,97.3,97.17,97.46,"(47, 54, 13, 71, 27, 49)"
chb02,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,100,100,100,100,100,100,100,100,"(60, 71, 1, 3, 1, 57)"
chb03,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.61,98.6,98.76,98.46,97.76,97.73,98.07,97.45,"(20, 18, 22, 58, 46, 11)"
chb04,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.08,98.09,98.73,97.46,96.58,96.54,97.69,95.5,"(45, 57, 59, 74, 28, 58)"
chb05,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.82,98.78,99.25,98.32,96.98,96.97,96.68,97.36,"(44, 31, 45, 13, 41, 33)"
chb06,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,94.73,94.72,95.18,94.27,91.52,91.84,92.81,91.01,"(75, 71, 49, 31, 55, 73)"
chb07,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.48,99.48,99.57,99.38,98.51,98.49,98.31,98.69,"(11, 74, 2, 41, 5, 13)"
chb08,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,97.02,97.01,97.02,97.02,94.75,94.39,97.39,92,"(50, 54, 73, 70, 61, 52)"
chb09,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.86,99.85,100,99.71,99.74,99.73,99.91,99.55,"(24, 2, 23, 68, 2, 5)"
chb10,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.78,98.75,98.61,98.88,97.99,97.98,97.6,98.38,"(36, 59, 29, 61, 74, 63)"
chb11,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.07,99.07,99.06,99.08,98.18,98.16,98.11,98.26,"(51, 74, 43, 75, 51, 59)"
chb12,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,95.99,95.97,95.45,96.5,95.71,95.62,95.17,96.08,"(63, 60, 73, 61, 74, 75)"
chb13,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,97.91,97.91,97.68,98.14,96.15,96.08,97.56,94.71,"(70, 67, 62, 66, 66, 72)"
chb14,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,94.31,94.29,93.37,95.26,91.66,91.38,94.66,88.45,"(53, 69, 69, 34, 72, 36)"
chb15,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.65,98.65,98.39,98.91,98.36,98.35,98.07,98.64,"(75, 75, 59, 64, 62, 54)"
chb16,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,97.37,97.24,96.55,97.99,96.75,96.68,96.01,97.46,"(10, 29, 10, 15, 19, 25)"
chb17,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.33,98.33,98.84,97.82,97.75,97.68,98.29,97.1,"(65, 32, 57, 5, 74, 21)"
chb18,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.17,99.15,99.06,99.24,98.81,98.73,98.58,98.89,"(36, 5, 69, 46, 41, 42)"
chb19,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,97.44,97.28,98.05,96.53,94.56,94.27,97.67,91.52,"(6, 30, 6, 53, 42, 61)"
chb20,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,97.43,97.29,98.44,96.19,95.63,95.95,97.7,94.3,"(48, 10, 21, 22, 34, 27)"
chb21,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,95.58,95.74,95.07,96.48,93.63,93.56,95.6,91.81,"(23, 59, 13, 71, 31, 67)"
chb22,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.57,99.56,99.71,99.41,99.36,99.32,99.63,99.02,"(35, 9, 15, 35, 21, 21)"
chb23,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.91,98.87,99.11,98.63,97.82,97.89,98,97.82,"(30, 65, 60, 38, 68, 67)"
chb24,1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.61,98.58,98,99.18,97.25,97.33,98.34,96.39,"(39, 46, 31, 34, 28, 47)"
,,,,,,,,,,,,,,98.01166667,98.0025,98.03958333,97.97916667,96.7825,96.74875,97.45916667,96.16041667,
