val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.438,98.42999999999999,99.30600000000001,97.56899999999999,97.5,97.48400000000001,96.25,98.75,16
97.743,97.743,97.917,97.56899999999999,98.75,98.746,98.125,99.375,75
97.56899999999999,97.558,96.528,98.611,97.188,97.178,96.25,98.125,8
98.785,98.784,98.958,98.611,97.813,97.804,96.875,98.75,39
97.743,97.743,97.56899999999999,97.917,97.188,97.178,98.125,96.25,60
98.264,98.253,97.222,99.30600000000001,97.188,97.18599999999999,96.875,97.5,34
98.438,98.437,98.611,98.264,96.25,96.234,97.5,95.0,38
98.09,98.09,97.917,98.264,96.875,96.774,93.75,100.0,63
98.264,98.263,97.917,98.611,99.063,99.062,98.75,99.375,46
97.222,97.211,96.18100000000001,98.264,97.5,97.5,97.5,97.5,24
